utc,lat,lon,dep
2010-02-04T05:10:39.160000Z,61.533,-140.7076,0.0
2010-02-04T10:18:30.130000Z,60.2919,-140.2761,15.0
2010-02-04T11:25:13.500000Z,60.0883,-141.5596,12.52
2010-02-04T21:42:02.540000Z,60.3099,-141.7353,13.19
2010-02-05T01:08:07.250000Z,61.5012,-142.6101,14.06
2010-02-05T01:45:11.500000Z,60.5068,-141.4389,169.61
2010-02-05T08:43:45.930000Z,60.5405,-142.8664,12.85
2010-02-05T09:29:24.000000Z,60.1712,-140.9288,15.12
2010-02-05T09:37:03.240000Z,60.3009,-141.1694,13.59
2010-02-05T10:44:51.880000Z,60.195,-140.7331,22.42
2010-02-05T19:38:05.390000Z,60.286,-141.5802,12.67
2010-02-07T03:27:28.380000Z,60.35,-141.7605,17.6
2010-02-07T10:46:56.360000Z,60.6092,-142.6096,20.06
2010-02-07T22:47:40.550000Z,60.3901,-140.6482,15.0
2010-02-07T23:39:39.150000Z,60.5527,-141.4309,18.95
2010-02-08T05:40:54.480000Z,60.0486,-140.4379,15.0
2010-02-08T11:11:22.640000Z,61.667,-142.4082,15.11
2010-02-08T20:14:29.990000Z,59.8487,-143.3244,35.08
2010-02-08T23:56:28.790000Z,60.5326,-141.9334,14.53
2010-02-09T02:05:09.340000Z,59.8391,-141.546,15.71
2010-02-09T14:59:33.950000Z,60.3315,-143.0953,26.61
2010-02-09T19:20:11.390000Z,60.5711,-141.6279,22.84
2010-02-10T05:13:28.770000Z,60.4889,-141.6122,15.18
2010-02-10T05:15:12.860000Z,60.5312,-141.6288,16.74
2010-02-10T14:48:17.900000Z,60.1382,-141.5038,12.21
2010-02-10T23:33:23.840000Z,61.2902,-141.49,10.84
2010-02-11T20:00:24.230000Z,60.6459,-140.6853,24.18
2010-02-11T21:32:33.040000Z,60.4858,-141.5539,20.0
2010-02-11T21:58:34.240000Z,60.3263,-141.8484,12.1
2010-02-12T00:32:39.440000Z,60.441,-142.9854,20.55
2010-02-12T10:07:47.280000Z,60.2721,-142.5367,12.72
2010-02-12T10:22:40.080000Z,60.2347,-142.5342,13.71
